"","drug_name","category1","category2"
"667","ly3023414","PI3K/Akt/mTOR, Cell Cycle/DNA Damage, Autophagy","PI3K, DNA-PK, mTOR, Autophagy"
"668","4e1rcat","Cell Cycle/DNA Damage, Autophagy","Eukaryotic Initiation Factor (eIF), Autophagy"
"669","fipi","Metabolic Enzyme/Protease, Autophagy","Phospholipase, Autophagy"
"670","sb-239063","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"671","penfluridol","Membrane Transporter/Ion Channel, Neuronal Signaling, GPCR/G Protein, Autophagy, Apoptosis","Calcium Channel, Dopamine Receptor, Autophagy, Apoptosis"
"672","isradipine","Membrane Transporter/Ion Channel, Neuronal Signaling, Autophagy","Calcium Channel, Autophagy"
"673","vlx600","Metabolic Enzyme/Protease, Autophagy","Mitochondrial Metabolism, Autophagy"
"674","fexaramine","Metabolic Enzyme/Protease, Autophagy","FXR, Autophagy"
"675","nitroxoline","Anti-infection, Apoptosis, Autophagy","Bacterial, Antibiotic, Apoptosis, Autophagy"
"676","deforolimus","PI3K/Akt/mTOR, Autophagy, Anti-infection","mTOR, Autophagy, Bacterial"
"677","amsacrine","Cell Cycle/DNA Damage, Autophagy","Topoisomerase, Autophagy"
"678","ambroxol","Metabolic Enzyme/Protease, Autophagy","Glucosidase, Autophagy"
"679","agn-195183","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"680","vx-702","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"681","meprednisone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Autophagy","Glucocorticoid Receptor, Autophagy"
"682","osi-027","PI3K/Akt/mTOR, Autophagy","mTOR, Autophagy"
"683","megestrol-acetate","Vitamin D Related/Nuclear Receptor, Autophagy, Anti-infection","Progesterone Receptor, Autophagy, HIV"
"684","brivanib","Protein Tyrosine Kinase/RTK, Autophagy","VEGFR, Autophagy"
"685","nitrendipine","Membrane Transporter/Ion Channel, Neuronal Signaling, Autophagy","Calcium Channel, Autophagy"
"686","3,3'-diindolylmethane","Vitamin D Related/Nuclear Receptor, Autophagy","Androgen Receptor, Autophagy"
"687","bicyclol","Anti-infection, Autophagy","HBV, Autophagy"
"688","peretinoin","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Immunology/Inflammation, Autophagy, Anti-infection","RAR/RXR, SphK, Autophagy, HCV"
"689","palovarotene","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"690","corosolic-acid","Autophagy, Apoptosis, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling","Autophagy, Apoptosis, EGFR"
"691","lumefantrine","Anti-infection, Autophagy","Parasite, Autophagy"
"692","arglabin","Immunology/Inflammation, Metabolic Enzyme/Protease, Autophagy","NOD-like Receptor (NLR), Farnesyl Transferase, Autophagy"
"693","isosorbide-mononitrate","Autophagy, Metabolic Enzyme/Protease","Autophagy, Endogenous Metabolite"
"694","dronedarone","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease, Autophagy","mAChR, Sodium Channel, Calcium Channel, Adrenergic Receptor, Cytochrome P450, Autophagy"
"695","pexmetinib","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"696","gsk2578215a","Autophagy","LRRK2, Autophagy, Mitophagy"
"697","fludrocortisone-acetate","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","Mineralocorticoid Receptor, Autophagy"
"698","sertindole","GPCR/G Protein, Neuronal Signaling, Autophagy","5-HT Receptor, Dopamine Receptor, Adrenergic Receptor, Autophagy"
"699","tazarotene","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"700","pf-04457845","Metabolic Enzyme/Protease, Neuronal Signaling, Autophagy","FAAH, Autophagy"
"701","bakuchiol","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"702","sr-3677","Cell Cycle/DNA Damage, TGF-beta/Smad, Stem Cell/Wnt, Cytoskeleton, Autophagy","ROCK, Autophagy"
"703","levosimendan","Membrane Transporter/Ion Channel, Metabolic Enzyme/Protease, Autophagy","Potassium Channel, Phosphodiesterase (PDE), Autophagy"
"704","proflavine-hemisulfate","Anti-infection, Membrane Transporter/Ion Channel, Autophagy","Bacterial, Potassium Channel, Autophagy"
"705","brivanib-alaninate","Protein Tyrosine Kinase/RTK, Autophagy","VEGFR, Autophagy"
"706","u-0126","MAPK/ERK Pathway, Autophagy, Anti-infection","MEK, Autophagy, Mitophagy, Influenza Virus"
"707","lucanthone","Autophagy, Anti-infection","Autophagy, Parasite"
"708","int-767","Metabolic Enzyme/Protease, GPCR/G Protein, Autophagy","FXR, G protein-coupled Bile Acid Receptor 1, Autophagy"
"709","abt-751","Cytoskeleton, Cell Cycle/DNA Damage, Autophagy","Microtubule/Tubulin, Autophagy"
"710","meglutol","Metabolic Enzyme/Protease, Autophagy","HMG-CoA Reductase (HMGCR), Autophagy, Endogenous Metabolite"
"711","ta-01","Cell Cycle/DNA Damage, Stem Cell/Wnt, MAPK/ERK Pathway, Autophagy","Casein Kinase, p38 MAPK, Autophagy"
"712","camkii-in-1","Neuronal Signaling, Autophagy","CaMK, Autophagy"
"713","fluvastatin","Metabolic Enzyme/Protease, Autophagy","HMG-CoA Reductase (HMGCR), Autophagy"
"714","pf-3845","Metabolic Enzyme/Protease, Neuronal Signaling, Autophagy","FAAH, Autophagy"
"715","skepinone-l","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"716","sofalcone","Autophagy, Anti-infection","Autophagy, Bacterial"
"717","gdc-0349","PI3K/Akt/mTOR, Autophagy","mTOR, Autophagy"
"718","briciclib","Cell Cycle/DNA Damage, Autophagy","Eukaryotic Initiation Factor (eIF), Autophagy"
"719","way-362450","Metabolic Enzyme/Protease, Autophagy","FXR, Autophagy"
"720","erythromycin-ethylsuccinate","Anti-infection, Autophagy","Bacterial, HIV, Autophagy, Antibiotic"
"721","bgt226","PI3K/Akt/mTOR, Autophagy","PI3K, mTOR, Autophagy"
"722","ly2183240","Metabolic Enzyme/Protease, Neuronal Signaling, Autophagy","FAAH, Autophagy"
"723","aliskiren-hemifumarate","Metabolic Enzyme/Protease, Autophagy","Renin, Autophagy"
"724","jnj-42165279","Metabolic Enzyme/Protease, Neuronal Signaling, Autophagy","FAAH, Autophagy"
"725","clinofibrate","Metabolic Enzyme/Protease, Autophagy","HMG-CoA Reductase (HMGCR), Autophagy"
"726","sb-242235","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"727","nortriptyline","Autophagy, Metabolic Enzyme/Protease, Apoptosis","Autophagy, Drug Metabolite, Apoptosis"
"728","ac-55649","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy","RAR/RXR, Autophagy"
"729","xl388","PI3K/Akt/mTOR, Autophagy","mTOR, Autophagy"
"730","rupatadine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Autophagy","Histamine Receptor, Autophagy"
"731","al-8697","MAPK/ERK Pathway, Autophagy","p38 MAPK, Autophagy"
"732","amiodarone","Induced Disease Models Products, Membrane Transporter/Ion Channel, Autophagy","Respiratory System Disease Models, Potassium Channel, Autophagy"
"733","fasudil","Cell Cycle/DNA Damage, TGF-beta/Smad, Stem Cell/Wnt, Cytoskeleton, Neuronal Signaling, Membrane Transporter/Ion Channel, Autophagy, Epigenetics","ROCK, Calcium Channel, Autophagy, PKA, PKC"
"734","pravastatin","Autophagy, Metabolic Enzyme/Protease","Autophagy, HMG-CoA Reductase (HMGCR)"
"735","maprotiline","Autophagy","Autophagy"
"736","berberine","Cell Cycle/DNA Damage, Autophagy, Anti-infection, Immunology/Inflammation, NF-κB, Metabolic Enzyme/Protease","Topoisomerase, Autophagy, Bacterial, Reactive Oxygen Species, Endogenous Metabolite, Antibiotic, Parasite"
"737","rosuvastatin","Metabolic Enzyme/Protease, Autophagy, Membrane Transporter/Ion Channel, Anti-infection","HMG-CoA Reductase (HMGCR), Autophagy, Potassium Channel, Bacterial"
"738","ikk-16","NF-κB, Autophagy","IKK, LRRK2"
"739","pf-06447475","Autophagy","LRRK2"
"740","czc-54252","Autophagy","LRRK2"
"741","geldanamycin","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Anti-infection","HSP, Bacterial, Influenza Virus, Antibiotic"
"742","snx-5422","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","HSP"
"743","at13387","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","HSP"
"744","ver-49009","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","HSP"
"745","alvespimycin","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","HSP"
"746","gedunin","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","HSP"
"747","retaspimycin","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","HSP"
"748","stf-083010","Cell Cycle/DNA Damage","IRE1"
"749","ribostamycin","Anti-infection, Metabolic Enzyme/Protease, Cell Cycle/DNA Damage","Bacterial, Antibiotic, PDI"
"750","ono-8130","GPCR/G Protein, Cell Cycle/DNA Damage","Prostaglandin Receptor, PERK"
"751","azd6738","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","ATM/ATR"
"752","ku-60019","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","ATM/ATR"
"753","ve-821","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","ATM/ATR"
"754","mirin","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","ATM/ATR"
"755","az20","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","ATM/ATR"
"756","pf-03814735","Cell Cycle/DNA Damage, Epigenetics, Protein Tyrosine Kinase/RTK","Aurora Kinase, VEGFR"
"757","mln8054","Cell Cycle/DNA Damage, Epigenetics","Aurora Kinase"
"758","tak-632","MAPK/ERK Pathway, Epigenetics, Cell Cycle/DNA Damage","Raf, Aurora Kinase"
"759","tak-901","Cell Cycle/DNA Damage, Epigenetics","Aurora Kinase"
"760","sns-314","Cell Cycle/DNA Damage, Epigenetics","Aurora Kinase"
"761","xl228","Cell Cycle/DNA Damage, Epigenetics, Protein Tyrosine Kinase/RTK","Aurora Kinase, Bcr-Abl, IGF-1R, Src"
"762","pf-477736","Cell Cycle/DNA Damage, Protein Tyrosine Kinase/RTK, Epigenetics","Checkpoint Kinase (Chk), VEGFR, Src, c-Fms, Aurora Kinase, FGFR, FLT3, RET, CDK"
"763","pha-680632","Cell Cycle/DNA Damage, Epigenetics","Aurora Kinase"
"764","cct129202","Cell Cycle/DNA Damage, Epigenetics","Aurora Kinase"
"765","sns-314","Cell Cycle/DNA Damage, Epigenetics","Aurora Kinase"
"766","ellagic-acid","Cell Cycle/DNA Damage, Stem Cell/Wnt, Metabolic Enzyme/Protease, Immunology/Inflammation, NF-κB, Protein Tyrosine Kinase/RTK","Casein Kinase, Reactive Oxygen Species, Endogenous Metabolite, SHP2"
"767","pf-670462","Cell Cycle/DNA Damage, Stem Cell/Wnt","Casein Kinase"
"768","pf-4800567","Cell Cycle/DNA Damage, Stem Cell/Wnt","Casein Kinase"
"769","tak-715","MAPK/ERK Pathway, Stem Cell/Wnt, Cell Cycle/DNA Damage","p38 MAPK, Casein Kinase"
"770","cki-7","Cell Cycle/DNA Damage, Stem Cell/Wnt, Metabolic Enzyme/Protease, MAPK/ERK Pathway","Casein Kinase, CDK, SGK, Ribosomal S6 Kinase (RSK)"
"771","ttp-22","Cell Cycle/DNA Damage, Stem Cell/Wnt","Casein Kinase"
"772","lh846","Cell Cycle/DNA Damage, Stem Cell/Wnt","Casein Kinase"
"773","amg-548","MAPK/ERK Pathway, Stem Cell/Wnt, Cell Cycle/DNA Damage","p38 MAPK, Casein Kinase"
"774","cki-7","Cell Cycle/DNA Damage, Stem Cell/Wnt, Metabolic Enzyme/Protease, MAPK/ERK Pathway","Casein Kinase, CDK, SGK, Ribosomal S6 Kinase (RSK)"
"775","zidovudine","Anti-infection, Cell Cycle/DNA Damage","HIV, CRISPR/Cas9"
"776","cyclophosphamide","Induced Disease Models Products, Cell Cycle/DNA Damage","Immunology and Inflammatory Disease Models, Urinary System Disease Models, DNA Alkylator/Crosslinker"
"777","ifosfamide","Cell Cycle/DNA Damage","DNA Alkylator/Crosslinker"
"778","carmustine","Cell Cycle/DNA Damage","DNA Alkylator/Crosslinker"
"779","tretazicar","Cell Cycle/DNA Damage","DNA Alkylator/Crosslinker"
"780","cc-115","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","DNA-PK, mTOR"
"781","etp-45658","PI3K/Akt/mTOR, Cell Cycle/DNA Damage","PI3K, DNA-PK, mTOR"
"782","compound-401","Cell Cycle/DNA Damage, PI3K/Akt/mTOR","DNA-PK"
"783","brequinar","Metabolic Enzyme/Protease, Anti-infection, Cell Cycle/DNA Damage","Dihydroorotate Dehydrogenase, SARS-CoV, Virus Protease, DNA/RNA Synthesis"
"784","lmi070","Cell Cycle/DNA Damage, Membrane Transporter/Ion Channel","DNA/RNA Synthesis, Potassium Channel"
"785","folic-acid","Induced Disease Models Products, Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","Urinary System Disease Models, DNA/RNA Synthesis, Endogenous Metabolite"
"786","levofloxacin","Cell Cycle/DNA Damage, Anti-infection","Topoisomerase, DNA/RNA Synthesis, Antibiotic, Bacterial, Orthopoxvirus"
"787","adenine","Induced Disease Models Products, Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","Endocrine and Metabolic Disease Models, Urinary System Disease Models, DNA/RNA Synthesis, Endogenous Metabolite"
"788","halofuginone","Cell Cycle/DNA Damage, TGF-beta/Smad, Stem Cell/Wnt, Anti-infection, Membrane Transporter/Ion Channel, Neuronal Signaling","DNA/RNA Synthesis, TGF-beta/Smad, Parasite, Sodium Channel, Calcium Channel"
"789","erythromycin","Anti-infection, Cell Cycle/DNA Damage","Bacterial, Antibiotic, DNA/RNA Synthesis"
"790","simeprevir","Anti-infection, Metabolic Enzyme/Protease, Cell Cycle/DNA Damage","HCV, HCV Protease, SARS-CoV, DNA/RNA Synthesis"
"791","triciribine","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Anti-infection","DNA/RNA Synthesis, Akt, HIV"
"792","triapine","Cell Cycle/DNA Damage","DNA/RNA Synthesis"
"793","trimetrexate","Metabolic Enzyme/Protease, Cell Cycle/DNA Damage, Anti-infection","Dihydrofolate reductase (DHFR), Antibiotic, Antifolate, Parasite, Bacterial, DNA/RNA Synthesis"
"794","procaine","Epigenetics, Cell Cycle/DNA Damage, Anti-infection","Histone Demethylase, DNA/RNA Synthesis, Bacterial"
"795","didox","Cell Cycle/DNA Damage","DNA/RNA Synthesis"
"796","cgp-53353","Epigenetics, TGF-beta/Smad, Cell Cycle/DNA Damage","PKC, DNA/RNA Synthesis"
"797","enocitabine","Cell Cycle/DNA Damage, Anti-infection","Nucleoside Antimetabolite/Analog, DNA/RNA Synthesis, CMV"
"798","enoxacin","Anti-infection, Cell Cycle/DNA Damage, Epigenetics","Bacterial, DNA/RNA Synthesis, MicroRNA, Antibiotic"
"799","caracemide","Cell Cycle/DNA Damage, Anti-infection","DNA/RNA Synthesis, Bacterial"
"800","garenoxacin","Anti-infection, Cell Cycle/DNA Damage","Bacterial, Topoisomerase, DNA/RNA Synthesis, Antibiotic"
"801","uridine","Metabolic Enzyme/Protease, Cell Cycle/DNA Damage","Endogenous Metabolite, Nucleoside Antimetabolite/Analog"
"802","carmofur","Cell Cycle/DNA Damage, Anti-infection","Nucleoside Antimetabolite/Analog, SARS-CoV, Virus Protease"
"803","orotic-acid","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","Nucleoside Antimetabolite/Analog, Endogenous Metabolite"
"804","vidarabine","Anti-infection, Cell Cycle/DNA Damage","HSV, Nucleoside Antimetabolite/Analog, Orthopoxvirus, Antibiotic"
"805","doxifluridine","Apoptosis","Thymidylate Synthase"
"806","2-chloroadenosine","Cell Cycle/DNA Damage","Nucleoside Antimetabolite/Analog"
"807","elacytarabine","Cell Cycle/DNA Damage","Nucleoside Antimetabolite/Analog"
"808","cb-5083","Cell Cycle/DNA Damage","p97"
"809","nms-873","Cell Cycle/DNA Damage","p97"
"810","xav-939","Stem Cell/Wnt, Epigenetics, Cell Cycle/DNA Damage","β-catenin, PARP"
"811","talazoparib","Cell Cycle/DNA Damage, Epigenetics","PARP"
"812","rucaparib","Cell Cycle/DNA Damage, Epigenetics","PARP"
"813","g007-lk","Cell Cycle/DNA Damage, Epigenetics","PARP"
"814","iniparib","Cell Cycle/DNA Damage, Epigenetics, Anti-infection","PARP, Influenza Virus"
"815","jw-55","Cell Cycle/DNA Damage, Epigenetics","PARP"
"816","e7449","Cell Cycle/DNA Damage, Epigenetics","PARP"
"817","wiki4","Cell Cycle/DNA Damage, Epigenetics, Stem Cell/Wnt","PARP, β-catenin"
"818","upf-1069","Cell Cycle/DNA Damage, Epigenetics","PARP"
"819","me0328","Cell Cycle/DNA Damage, Epigenetics","PARP"
"820","mn-64","Cell Cycle/DNA Damage, Epigenetics","PARP"
"821","eb-47","Cell Cycle/DNA Damage, Epigenetics","PARP"
"822","ri-1","Cell Cycle/DNA Damage","RAD51"
"823","trimethoprim","Induced Disease Models Products, Cell Cycle/DNA Damage, Anti-infection","Immunology and Inflammatory Disease Models, Antifolate, Bacterial, Antibiotic, Influenza Virus"
"824","pyrimethamine","Cell Cycle/DNA Damage, Anti-infection","Antifolate, Parasite"
"825","proguanil","Anti-infection, Cell Cycle/DNA Damage","Parasite, Antifolate"
"826","aminopterin","Cell Cycle/DNA Damage","Antifolate"
"827","palbociclib","Cell Cycle/DNA Damage","CDK"
"828","abemaciclib","Cell Cycle/DNA Damage","CDK"
"829","ribociclib","Cell Cycle/DNA Damage","CDK"
"830","thz1","Cell Cycle/DNA Damage","CDK"
"831","roscovitine","Cell Cycle/DNA Damage","CDK"
"832","kenpaullone","Cell Cycle/DNA Damage, Stem Cell/Wnt, PI3K/Akt/mTOR","CDK, GSK-3"
"833","bms-265246","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease","CDK, Angiotensin-converting Enzyme (ACE)"
"834","on123300","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Epigenetics, Protein Tyrosine Kinase/RTK","CDK, AMPK, PDGFR"
"835","purvalanol-b","Cell Cycle/DNA Damage, Anti-infection","CDK, Parasite"
"836","rgb-286638","Cell Cycle/DNA Damage, Stem Cell/Wnt, PI3K/Akt/mTOR, MAPK/ERK Pathway, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Epigenetics","CDK, GSK-3, MEK, JAK"
"837","olomoucine","Cell Cycle/DNA Damage","CDK"
"838","ml167","Cell Cycle/DNA Damage, Protein Tyrosine Kinase/RTK","CDK, DYRK"
"839","thz2","Cell Cycle/DNA Damage","CDK"
"840","amg-925","Protein Tyrosine Kinase/RTK, Cell Cycle/DNA Damage","FLT3, CDK"
"841","kh-cb19","Cell Cycle/DNA Damage","CDK"
"842","nsc-625987","Cell Cycle/DNA Damage","CDK"
"843","thz1-r","Cell Cycle/DNA Damage","CDK"
"844","pha-767491","Cell Cycle/DNA Damage","CDK"
"845","ryuvidine","Cell Cycle/DNA Damage","CDK"
"846","pd-407824","Cell Cycle/DNA Damage","Checkpoint Kinase (Chk), Wee1"
"847","nemorubicin","Cell Cycle/DNA Damage","G-quadruplex"
"848","chr-6494","Cell Cycle/DNA Damage","Haspin Kinase"
"849","trichostatin-a","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"850","rgfp966","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"851","tasquinimod","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"852","lmk-235","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"853","cudc-101","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Epigenetics, Cell Cycle/DNA Damage","EGFR, HDAC"
"854","pci-24781","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"855","mc1568","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"856","nexturastat-a","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"857","rg2833","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"858","bufexamac","Cell Cycle/DNA Damage, Epigenetics, Metabolic Enzyme/Protease","HDAC, Aminopeptidase"
"859","givinostat","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"860","phenylbutyrate","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"861","resminostat","Cell Cycle/DNA Damage, Epigenetics","HDAC"
"862","sb-743921","Cell Cycle/DNA Damage, Cytoskeleton","Kinesin"
"863","litronesib","Cell Cycle/DNA Damage, Cytoskeleton","Kinesin"
"864","arq-621","Cell Cycle/DNA Damage, Cytoskeleton","Kinesin"
"865","brd9876","Cell Cycle/DNA Damage, Cytoskeleton","Kinesin, Microtubule/Tubulin"
"866","methylene-blue","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Cell Cycle/DNA Damage, Cytoskeleton","Guanylate Cyclase, Monoamine Oxidase, NO Synthase, Microtubule/Tubulin"
"867","kx2-391","Protein Tyrosine Kinase/RTK, Cytoskeleton, Cell Cycle/DNA Damage","Src, Microtubule/Tubulin"
"868","podophyllotoxin","Cell Cycle/DNA Damage, Cytoskeleton","Microtubule/Tubulin"
"869","epothilone-d","Cell Cycle/DNA Damage, Cytoskeleton, Anti-infection","Microtubule/Tubulin, Fungal, Bacterial, Antibiotic"
"870","parbendazole","Cell Cycle/DNA Damage, Cytoskeleton, Anti-infection","Microtubule/Tubulin, Parasite"
"871","fenbendazole","Anti-infection, Metabolic Enzyme/Protease, Cytoskeleton, Cell Cycle/DNA Damage","Parasite, HIF/HIF Prolyl-Hydroxylase, Microtubule/Tubulin, Antibiotic"
"872","cevipabulin","Cell Cycle/DNA Damage, Cytoskeleton","Microtubule/Tubulin"
"873","dolastatin-10","Cell Cycle/DNA Damage, Cytoskeleton, Antibody-drug Conjugate/ADC Related","Microtubule/Tubulin, ADC Cytotoxin"
"874","triclabendazole","Anti-infection, Apoptosis, Epigenetics, Cell Cycle/DNA Damage, Immunology/Inflammation","Parasite, Caspase, Bcl-2 Family, PARP, Pyroptosis"
"875","d-64131","Cell Cycle/DNA Damage, Cytoskeleton","Microtubule/Tubulin"
"876","estramustine","Cell Cycle/DNA Damage, Cytoskeleton","Microtubule/Tubulin"
"877","mps1-in-1","Cell Cycle/DNA Damage, Cytoskeleton","Mps1"
"878","tc-mps1-12","Cell Cycle/DNA Damage, Cytoskeleton","Mps1"
"879","fingolimod","GPCR/G Protein, Cytoskeleton, Cell Cycle/DNA Damage","LPL Receptor, PAK"
